City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
264,Tacuati,-23.45,-56.58,85.24,48,59,4.54,PY,broken clouds
265,Nouadhibou,20.93,-17.03,82.4,42,19,14.99,MR,few clouds
266,Oytal,42.91,73.27,52.81,40,0,3.38,KZ,clear sky
267,Wad Rawah,15.16,33.14,85.95,22,0,3.71,SD,clear sky
268,Rincon,32.3,-81.24,78.8,54,20,9.17,US,few clouds
269,Ichnya,50.86,32.39,46.06,78,92,11.12,UA,overcast clouds
270,Ornskoldsvik,63.29,18.72,30.2,100,90,16.11,SE,light snow
271,Elat,29.56,34.95,82.4,61,0,8.05,IL,clear sky
272,Artyom,40.47,50.33,62.6,88,75,6.93,AZ,broken clouds
273,Dzilam Gonzalez,21.28,-88.93,82.8,80,37,8.12,MX,light rain
274,Khromtau,50.25,58.43,46.67,68,2,13.06,KZ,clear sky
275,Pitkyaranta,61.57,31.48,39.43,84,100,9.06,RU,light rain
276,Sorkjosen,69.8,20.93,32.85,86,1,4.79,NO,clear sky
277,Lewes,50.87,0.01,51.01,91,82,0.67,GB,broken clouds
278,Cantaura,9.31,-64.36,83.66,74,56,3.11,VE,light rain
279,Touros,-5.2,-35.46,80.6,69,20,12.75,BR,few clouds
280,La Rioja,42.25,-2.5,54.0,76,15,3.36,ES,few clouds
281,Miranda,3.25,-76.23,87.8,48,75,14.99,CO,shower rain
282,Mardin,37.31,40.74,58.78,37,0,1.81,TR,clear sky
283,Maralal,1.1,36.7,61.61,76,33,4.45,KE,scattered clouds
284,Carquefou,47.3,-1.49,50.0,76,93,5.82,FR,overcast clouds
285,Firovo,57.48,33.7,38.35,90,100,13.98,RU,light rain
286,Viedma,-40.81,-63.0,80.01,13,0,8.01,AR,clear sky
287,Humaita,-7.51,-63.02,91.09,50,99,4.29,BR,overcast clouds
288,Manta,-0.95,-80.73,80.6,65,75,11.41,EC,broken clouds
289,Pasaquina,13.58,-87.84,95.0,47,52,2.28,SV,broken clouds
290,Bethalto,38.91,-90.04,60.01,58,75,11.41,US,broken clouds
291,Corrales,35.24,-106.61,82.0,8,1,6.93,US,clear sky
292,Verkhnetulomskiy,68.61,31.8,19.4,100,96,2.24,RU,overcast clouds
293,Turayf,31.67,38.66,66.2,23,0,6.93,SA,clear sky
294,Havre-Saint-Pierre,50.23,-63.6,44.6,56,1,5.82,CA,clear sky
295,Adeje,28.12,-16.73,73.0,78,75,11.41,ES,broken clouds
296,Nueva Loja,0.08,-76.88,86.0,62,40,4.7,EC,scattered clouds
297,Andilamena,-17.02,48.58,59.52,93,20,5.95,MG,few clouds
298,Gat,31.61,34.76,75.99,84,0,3.83,IL,clear sky
299,Aswan,24.09,32.91,84.52,21,0,10.16,EG,clear sky
300,Bengkulu,-3.8,102.27,74.86,93,100,5.97,ID,overcast clouds
301,Mandera,3.94,41.87,84.38,51,92,17.36,KE,overcast clouds
302,Dovers,12.88,-61.18,84.2,79,40,7.49,VC,scattered clouds
303,Merrill,45.18,-89.68,39.99,48,90,9.17,US,overcast clouds
304,Manjo,4.84,9.82,70.9,95,100,1.39,CM,light rain
305,Sindor,62.86,51.89,30.63,99,100,7.58,RU,overcast clouds
306,Andenes,69.31,16.12,37.4,74,20,9.17,NO,few clouds
307,Brigantine,39.41,-74.36,64.4,55,75,12.75,US,broken clouds
308,Macae,-22.37,-41.79,73.4,73,40,16.11,BR,scattered clouds
309,Chany,55.31,76.76,29.61,94,46,7.99,RU,scattered clouds
310,Farafangana,-22.82,47.83,70.74,80,91,8.5,MG,overcast clouds
311,Nioro,13.35,-15.75,80.6,71,0,5.41,GM,clear sky
312,Yermish,54.77,42.27,41.47,82,97,17.43,RU,overcast clouds
313,Bartica,6.4,-58.62,87.8,66,20,9.17,GY,thunderstorm
314,Aranos,-24.13,19.12,74.62,19,0,6.31,NA,clear sky
315,Necochea,-38.55,-58.74,64.99,66,57,1.99,AR,broken clouds
316,Bijar,35.87,47.61,45.97,45,0,0.96,IR,clear sky
317,Kamareddi,18.32,78.35,72.77,94,72,2.51,IN,broken clouds
318,Kimparana,12.83,-4.92,87.57,37,73,7.9,ML,broken clouds
319,Doha,25.29,51.53,84.2,58,0,8.05,QA,clear sky
320,Nizwa,22.93,57.53,74.17,18,0,7.92,OM,clear sky
321,Ilam,26.92,87.92,62.24,88,7,3.38,NP,clear sky
322,Saint-Pierre,-21.34,55.48,70.0,68,0,3.36,RE,clear sky
323,Khandbari,27.37,87.2,66.88,66,19,1.97,NP,few clouds
324,Maceio,-9.67,-35.74,78.8,69,20,10.29,BR,few clouds
325,Talnakh,69.49,88.4,15.8,92,90,6.71,RU,light snow
326,Paoua,7.24,16.44,71.62,84,34,1.32,CF,scattered clouds
327,Imbituba,-28.24,-48.67,71.6,78,75,13.87,BR,broken clouds
328,Mehriz,31.59,54.43,55.4,9,0,4.7,IR,clear sky
329,Halifax,44.65,-63.57,59.0,69,15,4.0,CA,few clouds
330,Chitral,35.85,71.79,59.29,31,0,6.51,PK,clear sky
331,Trofors,65.53,13.41,24.8,92,0,3.36,NO,fog
332,Natal,-5.79,-35.21,80.6,69,20,12.75,BR,few clouds
333,Pokhara,28.23,83.98,67.95,62,24,2.89,NP,few clouds
334,Bonthe,7.53,-12.51,78.58,88,100,7.09,SL,overcast clouds
335,Sao Joao Da Barra,-21.64,-41.05,75.2,69,75,16.11,BR,broken clouds
336,Cherepovets,59.13,37.9,32.0,87,90,6.71,RU,overcast clouds
337,Saint Anthony,45.02,-93.22,33.8,50,90,6.93,US,overcast clouds
338,Snezhnogorsk,69.19,33.25,19.4,100,32,2.24,RU,scattered clouds
339,Hvolsvollur,63.75,-20.22,42.01,88,1,24.0,IS,clear sky
340,At-Bashi,41.17,75.81,37.18,65,0,2.15,KG,clear sky
341,Bin Qirdan,33.14,11.22,68.32,51,0,6.67,TN,clear sky
342,Lichinga,-13.31,35.24,69.8,43,0,4.7,MZ,clear sky
343,Caravelas,-17.71,-39.25,72.95,80,54,8.43,BR,broken clouds
344,Puri,19.8,85.85,77.0,100,40,9.44,IN,haze
345,Hvide Sande,56.0,8.13,45.0,79,80,1.99,DK,broken clouds
346,Muisne,0.6,-80.03,80.6,83,90,10.29,EC,overcast clouds
347,Moose Factory,51.26,-80.61,35.6,93,90,9.17,CA,overcast clouds
348,Kindu,-2.95,25.95,69.93,95,100,1.12,CD,light rain
349,Bilma,18.69,12.92,83.88,15,0,5.95,NE,clear sky
